"","A","B","C"
"1","4","1","1"
"2","1","4","3"
"3","2","2","3"
"4","4","3","4"
"5","3","2","1"
"6","2","4","3"
"7","4","2","2"
"8","2","3","1"
"9","1","4","1"
"10","2","4","4"
"11","1","2","1"
"12","3","2","4"
"13","1","1","1"
"14","1","2","2"
"15","2","3","2"
"16","1","3","2"
"17","2","1","2"
"18","4","3","3"
"19","2","1","4"
"20","2","2","1"
"21","1","1","2"
"22","1","4","2"
"23","3","4","4"
"24","2","2","2"
"25","3","1","3"
"26","3","4","3"
"27","1","2","3"
"28","3","3","1"
"29","4","3","1"
"30","4","1","2"
"31","4","4","3"
"32","1","3","3"
"33","2","4","1"
"34","3","3","4"
"35","3","3","2"
"36","4","4","4"
"37","4","4","1"
"38","1","1","4"
"39","3","3","3"
"40","4","4","2"
"41","3","2","3"
"42","3","4","1"
"43","2","1","1"
"44","3","1","2"
"45","2","3","4"
"46","2","4","2"
"47","2","3","3"
"48","1","1","3"
"49","1","2","4"
"50","1","3","4"
"51","4","2","3"
"52","3","2","2"
"53","4","1","3"
"54","3","1","1"
"55","2","2","4"
"56","1","4","4"
"57","2","1","3"
"58","4","2","4"
"59","4","1","4"
"60","4","3","2"
"61","1","3","1"
"62","4","2","1"
"63","3","1","4"
"64","3","4","2"
